Publisher;Property;Datatype;ReqLevel;Explanation;num_min_max_entries
contact point;http://www.w3.org/ns/dcat#contactPoint;vcard:Kind;Mandatory;Mail to human;1..n
description;http://purl.org/dc/terms/description;rdfs:Literal;Mandatory;"What is the data about/ 	Free-text description of the catalog (in the language indicated in the attribute).";1..n
identifier;http://purl.org/dc/terms/identifier;rdfs:Literal;Mandatory;An unambiguous reference to the resource within a given context. (I don't know if this is for opendata.swiss);1..n
publisher;http://purl.org/dc/terms/publisher;foaf:Agent;Mandatory;This property refers to an entity (organisation) responsible for making the Catalogue available.;1..1
Title;http://purl.org/dc/terms/title;rdfs:Literal;Mandatory;Name of the dataset. Synonym: Schema:Name;1..n
keyword/tag;http://www.w3.org/ns/dcat#keyword;rdfs:Literal;Recommended;"This property contains a keyword or tag describing the Dataset. /If a suitable keyword is available in [TERMDAT] then this SHOULD be used. Good practice: mark the language of the keywords with the [ISO 639-1] language code such as ""geodata""@en.";0..n
landing page;http://www.w3.org/ns/dcat#landingPage;foaf:Document;Recommended;This property refers to a web page that provides access to the Dataset, its Distributions and/or additional information. It is intended to point to a landing page at the original data provider, not to a page on a site of a third party, such as an aggregator.;0..n
release date;http://purl.org/dc/terms/issued;rdfs:Literal (typed as as xsd:date, xsd:dateTime, xsd:gYear or xsd:gYearMonth);Recommended;This property contains the date of formal issuance (e.g., first publication of the Dataset). If this date is not known, the date of the first referencing of the data collection in the Catalogue can be entered.;0..1
spatial/ geographical coverage;http://purl.org/dc/terms/spatial;dct:Location;Recommended;"This property refers to a geographic region that is covered by the Dataset.  CV to be used: The EU Vocabularies Name Authority Lists MUST be used for continents, countries and places that are in those lists; if a particular location is not in one of the mentioned Named Authority Lists, Geonames URIs MUST be used: [VOCAB-EU-CONTINENT], [VOCAB-EU-COUNTRY], [VOCAB-EU-PLACE], [GEONAMES]";0..n
temporal coverage;http://purl.org/dc/terms/temporal;dct:PeriodOfTime;Recommended;"	For temporal references this property is MUST be used in order to conform to DCAT-AP.";0..n
theme/category;http://www.w3.org/ns/dcat#theme;skos:Concept;Recommended;This property refers to a category of the Dataset. A Dataset may be associated with multiple themes. CV to be used: [VOCAB-EU-THEME];0..n
update/ modification date;http://purl.org/dc/terms/modified;rdfs:Literal (typed as as xsd:date, xsd:dateTime, xsd:gYear or xsd:gYearMonth);Recommended;This property contains the most recent date on which the Dataset was changed or modified. No value may indicate that the Dataset has never changed after its initial publication, or that the date of the last modification is not known, or that the Dataset is continuously updated. This property MUST only be set if the distributions (the actual data) that the Dataset describes have been updated after it has been issued. In this case the property MUST contain the date of the last update. That way a person or institution using the data for an analysis or application will know when to update the report or application on their side.;0..1
access rights;http://purl.org/dc/terms/accessRights;dct:RightsStatement;Optional;This property refers to information that indicates whether the Dataset is open data, has access restrictions or is not public. CV to be used: [VOCAB-EU-ACCESS-RIGHT].;0..1
conforms to;http://purl.org/dc/terms/conformsTo;dct:Standard;Optional;This property refers to an implementing rule or other specification.  This property SHOULD be used to indicate the model, schema, ontology, view or profile that this representation of a Dataset conforms to. This is (generally) a complementary concern to the media-type or format.;0..n
documentation;http://xmlns.com/foaf/0.1/page;foaf:Document;Optional;This property refers to a page or document about this Dataset.;0..n
frequency;http://purl.org/dc/terms/accrualPeriodicity;dct:Frequency;Optional;This property refers to the frequency at which the Dataset is updated.  CV to be used: [VOCAB-EU-FREQUENCY].;0..1
image;http://schema.org/image;schema:url or schema:ImageObject;Optional;A thumbnail picture illustrating the content of the Dataset. It’s a DCAT-AP CH Custom Class (not present in DCAT-AP). For distributions that consist of visual content (photographs, videos, maps, etc.) it makes sense to add a limited number of thumbnails to the metadata.;0..3
is referenced by;http://purl.org/dc/terms/isReferencedBy;rdfs:Resource;Optional;This property is about a related resource, such as a publication, that references, cites, or otherwise points to the Dataset.;0..n
language;http://purl.org/dc/terms/language;dct:LinguisticSystem;Optional;This property refers to a language of the Dataset. This property can be repeated if there are multiple languages in the Dataset. CV to be used: [VOCAB-EU-LANGUAGE];0..n
qualified attribution;prov:qualifiedAttribution;prov:Attribution;Optional;This property refers to a link to an Agent having some form of responsibility for the resource;0..n
qualified relation;http://www.w3.org/ns/dcat#qualifiedRelation;dcat:Relationship;Optional;This property provides a link to a description of a relationship with another resource and it’s especially meant for relationships between Dataset. It replaces the property rdfs:seeAlso of DCAT-AP CH v1. See here for examples on how to use it: dcat:qualifiedRelation.;0..n
related resource;http://purl.org/dc/terms/relation;rdfs:Resource;Optional;This property refers to a related resource where the relationship cannot be further specified as a dcat:qualifiedRelationship. This may be additional material such as an article, example or documentation helpful in the context of the Dataset. The element can also be used to link to legal foundations that apply to the publication or usage of the Dataset.;0..n
work example;http://schema.org/workExample;;Recommended;A Link to a visualize infographic or another webpage that uses the data and gives some insight. It serves as an appetizer and gives overview.;0..n
creative_workStatus;http://schema.org/creativeWorkStatus;;Optional;The status of a creative work in terms of its stage in a lifecycle. Example terms include Incomplete, Draft, Published, Obsolete. Some organizations define a set of terms for the stages of their publication lifecycle.;
